product_name,date,category,quantity,price,cost,total_cost,total_amount,revenue
Dalgona Presso Latte (size M),01-2021,Presso,94,55000,10001,940094,5170000,4229906
Sua Da,01-2021,Presso,51,25000,5190,264690,1275000,1010310
Bac Xiu,01-2021,Presso,44,25000,6265,275660,1100000,824340
Matcha Latte [Size M],01-2021,Non- Presso,79,50000,7048,556792,3950000,3393208
Dalgona Presso Latte,01-2021,Presso,43,45000,7677,330111,1935000,1604889
Banana dalgona,01-2021,Presso,42,45000,15269,641298,1890000,1248702
Almond Latte,01-2021,Presso,38,45000,17114,650332,1710000,1059668
Tra vai mo muoi,01-2021,Non- Presso,29,35000,3668,106372,1015000,908628
Honey Orange Cold Brew,01-2021,Presso,25,45000,9750,243750,1125000,881250
Bac Xiu [Size M],01-2021,Presso,17,35000,7405,125885,595000,469115
Tra vai mo muoi [Size M],01-2021,Non- Presso,14,45000,6110,85540,630000,544460
Lychee Kombucha [Size M],01-2021,Non- Presso,25,55000,13320,333000,1375000,1042000
Banana dalgona [Size M],01-2021,Presso,10,55000,18246,182460,550000,367540
Sua Da [Size M],01-2021,Presso,9,35000,6469,58221,315000,256779
Matcha Latte,01-2021,Non- Presso,9,35000,6014,54126,315000,260874
Almond Coconut Latte,01-2021,Presso,9,50000,17302,155718,450000,294282
Matcha Dalgona,01-2021,Presso,12,45000,8018,96216,540000,443784
Salted Kumquat Cold Brew [Size M],01-2021,Presso,14,55000,6710,93940,770000,676060
Lychee Kombucha,01-2021,Non- Presso,6,45000,12357,74142,270000,195858
Cinnamon coconut latte,01-2021,Presso,14,50000,9786,137004,700000,562996
Biscotti (Size S - 90gr),01-2021,Cookie,4,55000,31500,126000,220000,94000
Tra sa vai,01-2021,Non- Presso,43,35000,5786,248798,1505000,1256202
Almond Latte,01-2021,Presso,5,45000,17114,85570,225000,139430
Combo Kombucha & 50gr Choco Crinkles,01-2021,Combo,4,70000,23820,95280,280000,184720
Matcha Dalgona [Size M],01-2021,Presso,3,55000,11660,34980,165000,130020
Oolong full leaf with almond milk tea,01-2021,Non- Presso,4,45000,11054,44216,180000,135784
Choco Crinkles (80gr),01-2021,Cookie,6,29000,17500,105000,174000,69000
Latte [Size M],01-2021,Presso,3,50000,10510,31530,150000,118470
Almond Coconut Latte,01-2021,Presso,3,50000,17302,51906,150000,98094
Caramel Macchiato,01-2021,Presso,3,45000,7744,23232,135000,111768
Honey Orange Cold Brew,01-2021,Presso,2,45000,9750,19500,90000,70500
Kumquat Soda [Size M],01-2021,Non- Presso,2,55000,9230,18460,110000,91540
Tra sa vai [Size M],01-2021,Non- Presso,2,45000,8383,16766,90000,73234
doi qua sua hat,01-2021,Non- Presso,3,5000,8536,25608,15000,-10608
Caramel Macchiato,01-2021,Presso,3,45000,7744,23232,135000,111768
Choco Crinkles (50gr),01-2021,Cookie,2,20000,10500,21000,40000,19000
