product_name,date,category,quantity,price,cost,total_cost,revenue,profit
Dalgona Presso Latte (size M),4-2021,Presso,76,55000,10001,760076,4180000,3419924
Banana dalgona (size M),4-2021,Presso,71,55000,18246,1295466,3905000,2609534
Almond Latte (size M),4-2021,Presso,54,55000,19892,1074168,2970000,1895832
Sua Da [Size M],4-2021,Presso,70,35000,6469,452830,2450000,1997170
Sua Da,4-2021,Presso,91,25000,5190,472290,2275000,1802710
Lychee Kombucha [Size M],4-2021,Non- Presso,38,55000,13320,506160,2090000,1583840
Caramel Macchiato (size M),4-2021,Presso,37,55000,10572,391164,2035000,1643836
Bac xiu (size M),4-2021,Presso,55,35000,7405,407275,1925000,1517725
Matcha Latte [Size M],4-2021,Non- Presso,37,50000,7048,260776,1850000,1589224
Honey Orange Cold Brew (size M),4-2021,Presso,32,55000,9893,316576,1760000,1443424
Tra vai mo muoi [Size M],4-2021,Non- Presso,39,45000,6110,238290,1755000,1516710
Bac Xiu,4-2021,Presso,64,25000,6265,400960,1600000,1199040
Cinnamon coconut latte (size M),4-2021,Presso,26,60000,11653,302978,1560000,1257022
Banana dalgona,4-2021,Presso,34,45000,15269,519146,1530000,1010854
Tra vai mo muoi,4-2021,Non- Presso,37,35000,3668,135716,1295000,1159284
Dalgona Presso Latte,4-2021,Presso,27,45000,7677,207279,1215000,1007721
Bac Xiu [Size M],4-2021,Presso,30,35000,7405,222150,1050000,827850
Matcha Presso Fusion [Size M],4-2021,Presso,19,55000,11220,213180,1045000,831820
Matcha Dalgona [Size M],4-2021,Presso,18,55000,11660,209880,990000,780120
Tra sa vai [Size M],4-2021,Non- Presso,20,45000,8383,167660,900000,732340
Honey Orange Cold Brew,4-2021,Presso,19,45000,9750,185250,855000,669750
Choco Crinkles (80gr),4-2021,Cookie,24,29000,17500,420000,696000,276000
Caramel Macchiato,4-2021,Presso,15,45000,7744,116160,675000,558840
Oolong full leaf with almond milk tea [Size M],4-2021,Non- Presso,12,55000,14252,171024,660000,488976
Salted Kumquat Cold Brew [Size M],4-2021,Presso,12,55000,6710,80520,660000,579480
Almond Coconut Latte (size M),4-2021,Presso,11,60000,20306,223366,660000,436634
Banana dalgona [Size M],4-2021,Presso,11,55000,18246,200706,605000,404294
Cinnamon coconut latte,4-2021,Presso,12,50000,9786,117432,600000,482568
Lychee Kombucha,4-2021,Non- Presso,13,45000,12357,160641,585000,424359
Oolong full leaf with almond milk tea,4-2021,Non- Presso,13,45000,11054,143702,585000,441298
Latte [Size M],4-2021,Presso,11,50000,10510,115610,550000,434390
Matcha Dalgona,4-2021,Presso,12,45000,8018,96216,540000,443784
Almond Latte,4-2021,Presso,12,45000,17114,205368,540000,334632
Choco Crinkles (50gr),4-2021,Cookie,25,20000,10500,262500,500000,237500
Combo Kombucha & 50gr Choco Crinkles,4-2021,Combo,7,70000,23820,166740,490000,323260
Tra sa vai,4-2021,Non- Presso,14,35000,5786,81004,490000,408996
Combo Matcha Fusion & 50gr Choco Crinkles,4-2021,Combo,6,70000,21720,130320,420000,289680
Salted Kumquat Cold Brew,4-2021,Presso,9,45000,5240,47160,405000,357840
Matcha Latte,4-2021,Non- Presso,9,40000,6014,54126,360000,305874
Doi qua sua hat,4-2021,Non- Presso,63,5000,8536,537768,315000,-222768
Almond Coconut Latte,4-2021,Presso,6,50000,17302,103812,300000,196188
Latte,4-2021,Presso,7,40000,7744,54208,280000,225792
Cappuccino (size M),4-2021,Presso,5,50000,10510,52550,250000,197450
Kumquat Soda [Size M],4-2021,Non- Presso,4,55000,9230,36920,220000,183080
Combo Kumquat Coldbrew & 50gr Choco Crinkles,4-2021,Combo,3,70000,17210,51630,210000,158370
Americano,4-2021,Presso,5,40000,2500,12500,200000,187500
Americano (size M),4-2021,Presso,3,50000,5000,15000,150000,135000
Kumquat Soda,4-2021,Non- Presso,3,45000,8300,24900,135000,110100
Mocha [Size M],4-2021,Presso,2,50000,11701,23402,100000,76598
Cappuccino,4-2021,Presso,2,40000,7744,15488,80000,64512
Den Da,4-2021,Presso,2,25000,4150,8300,50000,41700
Matcha Presso Fusion,4-2021,Presso,1,45000,7502,7502,45000,37498
Mocha,4-2021,Presso,1,40000,9793,9793,40000,30207
Den Da (size M),4-2021,Presso,1,35000,4418,4418,35000,30582
Tra vai mo muoi [Size M],5-2021,Non- Presso,82,45000,6110,501020,3690000,3188980
Banana dalgona (size M),5-2021,Presso,65,55000,18246,1185990,3575000,2389010
Almond Latte (size M),5-2021,Presso,64,55000,19892,1273088,3520000,2246912
Dalgona Presso Latte (size M),5-2021,Presso,60,55000,10001,600060,3300000,2699940
Sua Da [Size M],5-2021,Presso,89,35000,6469,575741,3115000,2539259
Bac Xiu,5-2021,Presso,112,25000,6265,701680,2800000,2098320
Honey Orange Cold Brew (size M),5-2021,Presso,41,55000,9893,405613,2255000,1849387
Sua Da,5-2021,Presso,90,25000,5190,467100,2250000,1782900
Lychee Kombucha [Size M],5-2021,Non- Presso,40,55000,13320,532800,2200000,1667200
